Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000024,North Somerset,7,Aged 50 to 64 years,44765
E06000024,North Somerset,8,Aged 65 to 74 years,26477
E06000024,North Somerset,9,Aged 75 years and over,25397
E06000025,South Gloucestershire,1,Aged 4 years and under,16119
E06000025,South Gloucestershire,2,Aged 5 to 9 years,17128
E06000025,South Gloucestershire,3,Aged 10 to 15 years,19811
E06000025,South Gloucestershire,4,Aged 16 to 24 years,31214
E06000025,South Gloucestershire,5,Aged 25 to 34 years,39885
E06000025,South Gloucestershire,6,Aged 35 to 49 years,55812
E06000025,South Gloucestershire,7,Aged 50 to 64 years,56261
E06000025,South Gloucestershire,8,Aged 65 to 74 years,27568
E06000025,South Gloucestershire,9,Aged 75 years and over,26626
E06000026,Plymouth,1,Aged 4 years and under,13205
E06000026,Plymouth,2,Aged 5 to 9 years,15124
E06000026,Plymouth,3,Aged 10 to 15 years,17742
E06000026,Plymouth,4,Aged 16 to 24 years,34384
E06000026,Plymouth,5,Aged 25 to 34 years,36333
E06000026,Plymouth,6,Aged 35 to 49 years,48720
E06000026,Plymouth,7,Aged 50 to 64 years,50217
E06000026,Plymouth,8,Aged 65 to 74 years,26060
E06000026,Plymouth,9,Aged 75 years and over,22910
E06000027,Torbay,1,Aged 4 years and under,6059
E06000027,Torbay,2,Aged 5 to 9 years,7312
E06000027,Torbay,3,Aged 10 to 15 years,8921
E06000027,Torbay,4,Aged 16 to 24 years,11518
E06000027,Torbay,5,Aged 25 to 34 years,14740
E06000027,Torbay,6,Aged 35 to 49 years,22738
E06000027,Torbay,7,Aged 50 to 64 years,30849
E06000027,Torbay,8,Aged 65 to 74 years,19225
E06000027,Torbay,9,Aged 75 years and over,17962
E06000030,Swindon,1,Aged 4 years and under,13626
E06000030,Swindon,2,Aged 5 to 9 years,15156
E06000030,Swindon,3,Aged 10 to 15 years,17477
E06000030,Swindon,4,Aged 16 to 24 years,21598
E06000030,Swindon,5,Aged 25 to 34 years,32637
E06000030,Swindon,6,Aged 35 to 49 years,49952
E06000030,Swindon,7,Aged 50 to 64 years,45896
E06000030,Swindon,8,Aged 65 to 74 years,20396
E06000030,Swindon,9,Aged 75 years and over,16673
E06000031,Peterborough,1,Aged 4 years and under,14163
E06000031,Peterborough,2,Aged 5 to 9 years,15730
E06000031,Peterborough,3,Aged 10 to 15 years,18207
E06000031,Peterborough,4,Aged 16 to 24 years,21515
E06000031,Peterborough,5,Aged 25 to 34 years,32624
E06000031,Peterborough,6,Aged 35 to 49 years,46391
E06000031,Peterborough,7,Aged 50 to 64 years,36454
E06000031,Peterborough,8,Aged 65 to 74 years,16743
E06000031,Peterborough,9,Aged 75 years and over,13846
E06000032,Luton,1,Aged 4 years and under,15960
E06000032,Luton,2,Aged 5 to 9 years,16731
E06000032,Luton,3,Aged 10 to 15 years,19873
E06000032,Luton,4,Aged 16 to 24 years,27526
E06000032,Luton,5,Aged 25 to 34 years,34371
E06000032,Luton,6,Aged 35 to 49 years,48267
E06000032,Luton,7,Aged 50 to 64 years,36168
E06000032,Luton,8,Aged 65 to 74 years,14156
E06000032,Luton,9,Aged 75 years and over,12210
E06000033,Southend-on-Sea,1,Aged 4 years and under,10242
E06000033,Southend-on-Sea,2,Aged 5 to 9 years,10899
E06000033,Southend-on-Sea,3,Aged 10 to 15 years,13135
E06000033,Southend-on-Sea,4,Aged 16 to 24 years,16557
E06000033,Southend-on-Sea,5,Aged 25 to 34 years,23158
E06000033,Southend-on-Sea,6,Aged 35 to 49 years,36681
E06000033,Southend-on-Sea,7,Aged 50 to 64 years,35453
E06000033,Southend-on-Sea,8,Aged 65 to 74 years,18023
E06000033,Southend-on-Sea,9,Aged 75 years and over,16538
E06000034,Thurrock,1,Aged 4 years and under,12261
E06000034,Thurrock,2,Aged 5 to 9 years,12664
E06000034,Thurrock,3,Aged 10 to 15 years,14712
E06000034,Thurrock,4,Aged 16 to 24 years,17676
E06000034,Thurrock,5,Aged 25 to 34 years,25898
E06000034,Thurrock,6,Aged 35 to 49 years,37972
E06000034,Thurrock,7,Aged 50 to 64 years,30963
E06000034,Thurrock,8,Aged 65 to 74 years,13533
E06000034,Thurrock,9,Aged 75 years and over,10321
E06000035,Medway,1,Aged 4 years and under,17308
E06000035,Medway,2,Aged 5 to 9 years,18336
E06000035,Medway,3,Aged 10 to 15 years,21372
E06000035,Medway,4,Aged 16 to 24 years,28812
E06000035,Medway,5,Aged 25 to 34 years,38709
E06000035,Medway,6,Aged 35 to 49 years,55597
E06000035,Medway,7,Aged 50 to 64 years,53585
E06000035,Medway,8,Aged 65 to 74 years,25935
E06000035,Medway,9,Aged 75 years and over,20119
E06000036,Bracknell Forest,1,Aged 4 years and under,7119
E06000036,Bracknell Forest,2,Aged 5 to 9 years,7859
E06000036,Bracknell Forest,3,Aged 10 to 15 years,9696
